business_type,pct_change_vs_baseline
,-18.92393825714865
Commercial - Agricultural,109.89930726593022
Commercial - Animal Centre,-100.0
Commercial - Community Services,-49.683733142379765
Commercial - Education,-4.731237075293608
Commercial - Emergency/Rescue Service,-18.441219631501703
Commercial - Hotel/Motel/Boarding/Guest House,-24.453718883677585
Commercial - Industrial,13.615464716829278
Commercial - Leisure,1.5399569685783272
Commercial - Medical,-27.92075080621349
Commercial - Office,-46.66573917442652
Commercial - Retail,16.077559671949498
Commercial - Storage Land,
Commercial - Transport,-100.0
Commercial - Utility,-2105.4298642533936
Dual Use,25.747069319901524
Land - Allotment,44.46384568938789
Object of Interest - Place of Worship,-58.97717604657239
Parent Shell - Property Shell,51.82386859633708
Residential - Dwelling,8.075980837021492
Residential - Residential Institution,-16.21351987790155
